Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
7500,"1,739,322,569,709,400","[-4.5234375, 15.9921875, -7.1875, 0.0, 16.334684555795864], [-3.4375, 17.453125, -4.5, 0.0, 19.444826721501688], [-4.0703125, 17.9140625, -2.890625, 0.0, 17.993405494535818], [-3.9609375, 17.453125, -2.765625, 0.13, 16.812412373755873], [-4.015625, 17.78125, -2.0859375, 0.13, 19.9563519459755], [-4.0703125, 18.0703125, -1.6640625, 0.13, 19.19078092376074]","36,899,162","27,290,712"
7501,"1,739,322,569,759,400","[-4.5234375, 15.9921875, -7.1875, 0.0, 16.334684555795864], [-3.4375, 17.453125, -4.5, 0.0, 19.444826721501688], [-4.0703125, 17.9140625, -2.890625, 0.0, 17.993405494535818], [-3.9609375, 17.453125, -2.765625, 0.13, 16.812412373755873], [-4.015625, 17.78125, -2.0859375, 0.13, 19.9563519459755], [-4.0703125, 18.0703125, -1.6640625, 0.13, 19.19078092376074]","36,899,162","27,290,712"
7502,"1,739,322,569,809,400","[-4.40625, 17.0390625, -0.796875, 0.0, 17.92391689498254], [-4.0703125, 18.140625, 0.5078125, 0.0, 15.68201724066995], [-3.53125, 18.5078125, 0.28125, 0.0, 16.232492903979004], [-4.5859375, 17.71875, -1.328125, 0.13, 15.68201724066995], [-4.6484375, 17.984375, -0.859375, 0.13, 16.720978579357176], [-4.40625, 16.9609375, -1.8203125, -0.13, 16.901960800285135], [-3.3984375, 17.484375, -3.2421875, -0.13, 14.62397997898956], [-3.4375, 17.046875, -5.859375, -0.13, 13.424226808222063]","36,899,162","27,290,712"
7503,"1,739,322,569,859,400","[-4.40625, 16.9921875, -1.484375, 0.0, 18.19543935541869], [-4.46875, 17.1484375, -2.265625, 0.0, 16.334684555795864], [-3.3984375, 16.953125, -5.375, 0.0, 15.563025007672874], [-3.4375, 16.9296875, -6.1796875, 0.0, 18.512583487190753], [-2.90625, 17.453125, -5.7265625, 0.0, 17.323937598229687], [-4.015625, 17.578125, -3.40625, 0.13, 16.901960800285135], [-4.40625, 16.671875, -3.609375, -0.13, 17.781512503836435], [-2.328125, 16.3828125, -8.4921875, -0.13, 14.313637641589875], [-8.6015625, 15.34375, 5.234375, -0.13, 14.471580313422193]","36,899,162","27,290,712"
7504,"1,739,322,569,909,400","[-5.1640625, 17.3203125, -3.1953125, 0.13, 15.68201724066995], [-3.484375, 18.0390625, 2.8671875, -0.26, 16.127838567197355], [-3.484375, 17.1875, 6.1796875, -0.13, 17.781512503836435]","36,899,162","27,290,712"
7505,"1,739,322,569,959,400","[-4.40625, 17.0390625, -0.7265625, 0.0, 17.558748556724915], [-5.0234375, 17.046875, -1.7578125, 0.0, 16.532125137753436], [-4.5234375, 17.4296875, -1.890625, 0.0, 18.129133566428553], [-4.5859375, 17.7421875, -0.953125, 0.0, 21.2057393120585], [-4.0703125, 18.140625, -0.34375, 0.0, 20.453229787866576], [-4.5859375, 17.7265625, 1.2265625, 0.13, 17.558748556724915], [-4.0703125, 18.0078125, 2.203125, 0.13, 17.634279935629372], [-4.015625, 17.328125, -4.5, -0.26, 17.993405494535818], [-4.0703125, 17.6015625, -4.40625, -0.26, 16.434526764861875], [-3.8515625, 17.0546875, -2.15625, -0.13, 17.558748556724915], [-4.46875, 17.0625, -2.8046875, -0.13, 15.910646070264992], [-3.9609375, 17.21875, -3.9609375, -0.13, 18.19543935541869], [-4.015625, 17.703125, -2.6796875, -0.13, 21.398790864012366], [-4.0703125, 17.96875, -2.546875, -0.13, 19.822712330395685]","36,899,162","27,290,712"
7497,"1,739,322,569,559,400","[-5.734375, 17.1640625, -3.0234375, -0.26, 14.14973347970818], [-5.2265625, 17.3203125, -4.3046875, -0.26, 14.62397997898956], [-6.8828125, 16.7421875, 3.0, -0.13, 15.314789170422552]","36,899,162","27,290,712"
7496,"1,739,322,569,509,400","[-2.828125, 17.859375, -0.921875, 0.0, 20.211892990699383], [-2.8671875, 17.9921875, -2.171875, 0.0, 22.576785748691847], [-3.484375, 18.0, -3.1015625, 0.0, 20.755469613925307], [-3.3984375, 17.75, -1.1640625, 0.13, 17.323937598229687], [-2.8671875, 18.0703125, -1.375, 0.13, 19.637878273455552], [-2.90625, 18.1953125, -2.5234375, 0.13, 17.16003343634799], [-3.4375, 17.9375, -1.78125, -0.26, 16.02059991327962], [-4.0703125, 17.9296875, -2.796875, -0.26, 15.910646070264992], [-3.3984375, 17.7421875, -1.2265625, -0.13, 19.138138523837167], [-3.4375, 17.8125, -2.7578125, -0.13, 21.43014800254095], [-3.484375, 18.0234375, -2.953125, -0.13, 20.253058652647702]","36,899,162","27,290,712"
7495,"1,739,322,569,459,400","[-2.828125, 17.859375, -0.921875, 0.0, 20.211892990699383], [-2.8671875, 17.9921875, -2.171875, 0.0, 22.576785748691847], [-3.484375, 18.0, -3.1015625, 0.0, 20.755469613925307], [-3.3984375, 17.75, -1.1640625, 0.13, 17.323937598229687], [-2.8671875, 18.0703125, -1.375, 0.13, 19.637878273455552], [-2.90625, 18.1953125, -2.5234375, 0.13, 17.16003343634799], [-3.4375, 17.9375, -1.78125, -0.26, 16.02059991327962], [-4.0703125, 17.9296875, -2.796875, -0.26, 15.910646070264992], [-3.3984375, 17.7421875, -1.2265625, -0.13, 19.138138523837167], [-3.4375, 17.8125, -2.7578125, -0.13, 21.43014800254095], [-3.484375, 18.0234375, -2.953125, -0.13, 20.253058652647702]","36,899,162","27,290,712"
7494,"1,739,322,569,409,400","[-4.953125, 16.84375, -1.484375, 0.0, 17.558748556724915], [-5.0234375, 17.09375, -1.296875, 0.0, 17.781512503836435], [-3.9609375, 17.5546875, -2.0234375, 0.0, 18.692317197309762], [-4.015625, 17.5859375, -3.3828125, 0.0, 19.9563519459755], [-4.6484375, 17.5546875, -4.0, 0.0, 16.901960800285135], [-3.4375, 17.75, -3.1484375, 0.13, 16.02059991327962], [-3.9609375, 17.5, -2.4296875, -0.26, 16.812412373755873], [-4.015625, 17.625, -3.1484375, -0.26, 16.901960800285135], [-4.40625, 17.0, -1.4140625, -0.13, 17.481880270062003], [-4.46875, 17.1640625, -2.140625, -0.13, 18.45098040014257], [-3.9609375, 17.5078125, -2.3828125, -0.13, 19.637878273455552], [-4.015625, 17.6015625, -3.2734375, -0.13, 20.253058652647702], [-4.0703125, 17.6328125, -4.2734375, -0.13, 16.989700043360187]","36,899,162","27,290,712"
