Frame Number;POSIX Timestamp;Detected Objects;Latitude;Longitude
5529;1.738.595.765.188.430;"[-3.3129096031188965, 24.472593307495117, -9.619799613952637, -0.6997247338294983, 18.2]";36620937;27846252
5528;1.738.595.765.138.430;[];36620937;27846252
5527;1.738.595.765.088.430;"[-3.3129096031188965, 24.546329498291016, -9.430062294006348, -0.6997247338294983, 14.600000000000001], [-2.587733507156372, 25.726675033569336, -9.66123104095459, -0.5997640490531921, 14.100000000000001]";36620937;27846252
5526;1.738.595.765.038.430;[];36620937;27846252
5537;1.738.595.765.588.430;"[-2.5533831119537354, 26.753446578979492, -4.420138835906982, -0.6997247338294983, 15.0]";36620937;27846252
5536;1.738.595.765.538.430;"[-3.2823758125305176, 24.234298706054688, -9.563478469848633, -0.6997247338294983, 12.3], [-2.5533831119537354, 25.4627742767334, -9.323716163635254, -0.5997640490531921, 18.7]";36620937;27846252
5535;1.738.595.765.488.430;"[-2.5533831119537354, 26.00182342529297, -7.693488121032715, -0.5997640490531921, 15.100000000000001], [-3.2823758125305176, 24.08142852783203, -9.942143440246582, -0.4998033940792084, 13.9]";36620937;27846252
5534;1.738.595.765.438.430;"[-4.122053146362305, 24.268232345581055, -9.4882173538208, -0.6997247338294983, 12.5], [-3.4197776317596436, 25.309799194335938, -9.807723045349121, -0.5997640490531921, 14.200000000000001]";36620937;27846252
5542;1.738.595.765.838.430;"[-2.530482769012451, 25.1776123046875, -9.393759727478027, -0.6997247338294983, 17.3]";36620937;27846252
5543;1.738.595.765.888.430;"[-3.2518422603607178, 23.942398071289062, -9.64124870300293, -0.4998033940792084, 20.400000000000002]";36620937;27846252
5544;1.738.595.765.938.430;[];36620937;27846252
5545;1.738.595.765.988.430;"[-3.2365753650665283, 23.866657257080078, -9.504426956176758, -0.5997640490531921, 19.0]";36620937;27846252
5541;1.738.595.765.788.430;"[-2.5419328212738037, 25.72699737548828, -8.174745559692383, -0.6997247338294983, 13.700000000000001]";36620937;27846252
5540;1.738.595.765.738.430;"[-2.5419328212738037, 25.69886016845703, -8.262775421142578, -0.6997247338294983, 16.3]";36620937;27846252
5539;1.738.595.765.688.430;"[-2.5419328212738037, 25.5209903717041, -8.79681396484375, -0.6997247338294983, 14.600000000000001]";36620937;27846252
5538;1.738.595.765.638.430;"[-2.5419328212738037, 25.660598754882812, -8.38084602355957, -0.7996854186058044, 17.6], [-3.267108917236328, 24.128610610961914, -9.501169204711914, -0.5997640490531921, 13.8]";36620937;27846252
5557;1.738.595.766.588.430;"[-3.19077467918396, 23.402162551879883, -9.682173728942871, -0.6997247338294983, 17.1]";36620937;27846258
5556;1.738.595.766.538.430;[];36620937;27846258
5555;1.738.595.766.488.430;"[-3.2060415744781494, 23.730045318603516, -9.189300537109375, -0.5997640490531921, 15.0]";36620937;27846258
5554;1.738.595.766.438.430;"[-0.816777229309082, 24.30295753479004, -9.5830659866333, -0.5997640490531921, 12.5]";36620937;27846258
5558;1.738.595.766.638.430;"[-3.328176498413086, 25.716100692749023, -6.043003559112549, -0.5997640490531921, 14.4]";36620937;27846258
5559;1.738.595.766.688.430;"[-3.19077467918396, 23.47450065612793, -9.505447387695312, -0.4998033940792084, 15.700000000000001]";36620937;27846258
5560;1.738.595.766.738.430;[];36620937;27846258
5561;1.738.595.766.788.430;"[1.59538733959198, 24.002046585083008, -8.540681838989258, -0.5997640490531921, 13.8]";36620937;27846258
5565;1.738.595.766.988.430;[];36620937;27846258
5564;1.738.595.766.938.430;"[-3.297642707824707, 25.23722267150879, -6.940661907196045, -0.3998427093029022, 12.600000000000001]";36620937;27846258
5563;1.738.595.766.888.430;[];36620937;27846258
5562;1.738.595.766.838.430;"[-3.1755077838897705, 23.33302116394043, -9.53166675567627, -0.5997640490531921, 16.5]";36620937;27846258
5550;1.738.595.766.238.430;"[-4.026635646820068, 24.41192054748535, -7.208422660827637, -0.5997640490531921, 13.9], [-3.358710289001465, 25.711763381958008, -7.043015003204346, -0.5997640490531921, 12.5]";36620937;27846258
