Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
6648,1739322527.1094,"[-3.8984375, 20.1171875, -3.5546875, 0.13, 15.797835966168101]",36899334,27290888
6647,1739322527.0594,[],36899334,27290888
6646,1739322527.0094,"[-2.75, 21.7265625, 2.3046875, -0.26, 16.434526764861875]",36899334,27290888
6657,1739322527.5594,[],36899334,27290888
6656,1739322527.5094,[],36899334,27290888
6655,1739322527.4594,[],36899334,27290888
6654,1739322527.4094,"[-3.8515625, 19.703125, -4.390625, 0.0, 18.325089127062363], [-3.25, 20.2109375, -3.6875, 0.0, 18.750612633917], [-3.8515625, 19.390625, -5.625, -0.26, 16.434526764861875], [-3.8515625, 19.5703125, -4.953125, -0.13, 19.242792860618817], [-3.8984375, 19.9140625, -4.546875, -0.13, 18.633228601204557]",36899334,27290888
6682,1739322528.8094,[],36899334,2729088
6683,1739322528.8594,[],36899334,2729088
6684,1739322528.9094,[],36899334,2729088
6685,1739322528.9594,"[-4.546875, 19.953125, -3.7109375, 0.13, 14.913616938342727], [-3.8515625, 18.390625, -8.3359375, -0.13, 16.989700043360187]",36899334,2729088
6677,1739322528.5594,"[-3.2109375, 19.390625, -6.015625, 0.0, 17.24275869600789], [-4.4921875, 18.2265625, -8.3671875, -0.13, 14.771212547196624]",36899334,2729088
6676,1739322528.5094,[],36899334,2729088
6675,1739322528.4594,[],36899334,2729088
6674,1739322528.4094,[],36899334,2729088
6670,1739322528.2094,[],36899334,2729088
6671,1739322528.2594,[],36899334,2729088
6672,1739322528.3094,"[-3.2109375, 19.6796875, -4.984375, 0.0, 17.481880270062003], [-2.5703125, 19.7109375, -5.2265625, -0.13, 18.129133566428553], [-2.6015625, 19.9921875, -5.09375, -0.13, 17.85329835010767]",36899334,2729088
6673,1739322528.3594,[],36899334,2729088
6681,1739322528.7594,[],36899334,2729088
6680,1739322528.7094,[],36899334,2729088
6679,1739322528.6594,[],36899334,2729088
6678,1739322528.6094,"[-3.2109375, 19.9765625, -3.625, -0.13, 16.62757831681574]",36899334,2729088
6666,1739322528.0094,"[-3.8984375, 20.0625, -3.8671875, -0.13, 16.62757831681574]",36899334,2729088
6667,1739322528.0594,[],36899334,2729088
6668,1739322528.1094,"[-3.8515625, 19.7734375, -4.0703125, -0.13, 17.481880270062003], [-3.8984375, 20.109375, -3.609375, -0.13, 17.634279935629372]",36899334,2729088
6669,1739322528.1594,"[-3.8515625, 19.21875, -6.1796875, 0.13, 17.323937598229687]",36899334,2729088
6702,1739322529.8094,[],36899334,27290873
6703,1739322529.8594,[],36899334,27290873
6704,1739322529.9094,[],36899334,27290873
6705,1739322529.9594,[],36899334,27290873
6698,1739322529.6094,"[-3.8515625, 19.53125, -5.109375, -0.26, 16.901960800285135], [-3.8515625, 20.0078125, -2.703125, -0.13, 16.989700043360187], [2.5703125, 17.90625, 9.765625, -0.13, 14.313637641589875]",36899334,27290873
6699,1739322529.6594,"[-3.0546875, 17.546875, -8.125, -0.13, 14.771212547196624], [-3.09375, 18.0390625, -7.59375, -0.13, 14.913616938342727]",36899334,27290873
6700,1739322529.7094,"[-3.2890625, 20.6875, 1.96875, 0.0, 16.532125137753436]",36899334,27290873
6701,1739322529.7594,"[-3.2890625, 20.6875, 1.96875, 0.0, 16.532125137753436]",36899334,27290873
6686,1739322529.0094,"[-4.546875, 19.953125, -3.7109375, 0.13, 14.913616938342727], [-3.8515625, 18.390625, -8.3359375, -0.13, 16.989700043360187]",36899334,27290873
6687,1739322529.0594,"[-3.8984375, 20.0390625, -3.9765625, 0.0, 16.812412373755873]",36899334,27290873
6688,1739322529.1094,"[-4.4921875, 19.96875, -1.828125, 0.13, 15.051499783199061], [-4.546875, 20.1484375, -2.453125, 0.13, 15.797835966168101]",36899334,27290873
6689,1739322529.1594,"[-4.546875, 20.25, -1.390625, 0.13, 15.314789170422552]",36899334,27290873
6690,1739322529.2094,"[-3.71875, 18.3671875, -6.4453125, -0.13, 15.314789170422552]",36899334,27290873
6691,1739322529.2594,"[-3.71875, 18.3671875, -6.4453125, -0.13, 15.314789170422552]",36899334,27290873
6692,1739322529.3094,[],36899334,27290873
6693,1739322529.3594,"[-3.25, 20.4140625, -2.3203125, -0.26, 16.127838567197355], [-4.4921875, 20.0234375, -1.078125, -0.13, 16.02059991327962], [-3.8984375, 20.40625, -0.921875, -0.13, 17.323937598229687]",36899334,27290873
6694,1739322529.4094,"[-3.2109375, 19.7265625, -4.7890625, -0.26, 16.532125137753436], [-2.5703125, 20.09375, -3.484375, -0.13, 17.634279935629372]",36899334,27290873
6695,1739322529.4594,"[-3.09375, 18.734375, -5.6796875, -0.13, 15.314789170422552]",36899334,27290873
6696,1739322529.5094,"[-3.09375, 18.734375, -5.6796875, -0.13, 15.314789170422552]",36899334,27290873
6697,1739322529.5594,"[-3.9921875, 20.8125, 1.9921875, 0.0, 16.62757831681574], [-4.0390625, 21.046875, 2.0625, 0.0, 15.185139398778876], [-3.2109375, 20.140625, -2.5390625, -0.26, 15.314789170422552], [-3.25, 20.3125, -3.0625, -0.26, 15.797835966168101], [-2.5390625, 19.96875, -2.7109375, -0.13, 15.910646070264992], [-2.5703125, 20.2734375, -2.1640625, -0.13, 17.323937598229687], [-3.2890625, 20.75, -1.2265625, -0.13, 16.62757831681574]",36899334,27290873
6722,1739322530.8094,[],36899334,27290873
6723,1739322530.8594,[],36899334,27290873
6724,1739322530.9094,[],36899334,27290873
6725,1739322530.9594,"[-3.171875, 19.7890625, -3.3046875, -0.13, 17.92391689498254], [-3.2109375, 19.9765625, -3.6015625, -0.13, 17.993405494535818]",36899334,27290873
6721,1739322530.7594,"[-3.8046875, 19.1484375, -5.6015625, -0.13, 16.532125137753436], [-3.2109375, 19.4453125, -5.828125, -0.13, 16.812412373755873]",36899334,27290873
6720,1739322530.7094,"[-3.8046875, 19.1484375, -5.6015625, -0.13, 16.532125137753436], [-3.2109375, 19.4453125, -5.828125, -0.13, 16.812412373755873]",36899334,27290873
6719,1739322530.6594,"[-4.28125, 17.84375, -6.8046875, -0.13, 17.323937598229687]",36899334,27290873
6718,1739322530.6094,[],36899334,27290873
6713,1739322530.3594,[],36899334,27290873
6712,1739322530.3094,"[-3.8046875, 19.5, -4.2265625, 0.0, 16.434526764861875], [-4.4453125, 18.796875, -6.2890625, -0.13, 16.434526764861875], [-4.4921875, 18.3359375, -8.125, -0.13, 15.910646070264992]",36899334,27290873
6711,1739322530.2594,[],36899334,27290873
6710,1739322530.2094,[],36899334,27290873
6706,1739322530.0094,[],36899334,27290873
6707,1739322530.0594,"[-4.4921875, 19.5, -4.6953125, 0.0, 16.434526764861875], [-4.4921875, 19.5625, -4.4296875, -0.13, 16.532125137753436]",36899334,27290873
6708,1739322530.1094,[],36899334,27290873
6709,1739322530.1594,[],36899334,27290873
6714,1739322530.4094,"[-3.3671875, 21.21875, 1.40625, -0.13, 17.634279935629372]",36899334,27290873
6715,1739322530.4594,"[-4.4921875, 18.2734375, -8.2734375, 0.0, 17.16003343634799]",36899334,27290873
6716,1739322530.5094,"[-4.4921875, 18.2734375, -8.2734375, 0.0, 17.16003343634799]",36899334,27290873
